html	text/html
jpg	image/jpeg
jpeg	image/jpeg
mpg	video/mpeg
mpeg	video/mpeg
png	image/png
pdf	application/pdf
txt	text/plain
aac	audio/aac
avi	video/x-msvideo
azw	application/vnd.amazon.ebook
bin	application/octet-stream
jar	application/java-archive
js	application/javascript
ico	image/x-icon
doc	application/msword
css	text/css
ods	application/vnd.oasis.opendocument.spreadsheet
odt	application/vnd.oasis.opendocument.text
odp	application/vnd.oasis.opendocument.presentation
oga	audio/ogg
ogv	video/ogg
ppt	application/vnd.ms-powerpoint
rar	application/x-rar-compressed
rtf	application/rtf
sh	application/x-sh
svg	image/svg+xml
tar	application/x-tar
ttf	font/ttf
wav	audio/x-wav
weba	audio/webm
webm	video/webm
webp	image/webp
woff	font/woff
woff2	font/woff2
xhtml	application/xhtml+xml
xls	application/vnd.ms-excel
xml	application/xml
7z	application/x-7z-compressed
json	application/json
gif	image/gif
epub	application/epub+zip


